StationCode,Ambl_ra,Ammo_,Anar_de,Anar_lu,Anar_mi,Arct_ri,Arge_si,Arte_at,Bore_sa,Bros_br,Capr_sp,Clup_ha,Cott_mi,Ente_ae,Eumi_sp,Gadi_ar,Gadu_mo,Hipp_pl,Icel_sp,Lept_de,Lept_ma,Lump_la,Lyco_es,Lyco_eu,Lyco_gr,Lyco_pa,Lyco_re,Lyco_ro,Mall_vi,Mela_ae,Micr_po,Micr_ki,Poll_vi,Raje_fy,Rein_hi,Seba_ma,Seba_me,Seba_vi,Trig_mu,Trig_pi,Tris_es
2006-GS-290,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,8,50,0,0,0,1,0,0,4,0,0,0,0,42,381,0,0,0,5,0,47,0,0,0,0
2006-GS-292,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,19,0,0,0,0,0,0,0,0,0,0,0,8,59,0,0,0,1,0,22,1,0,0,0
2006-GS-294,1,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,4,84,0,1,0,0,0,0,8,0,0,0,0,5,727,0,0,1,1,0,103,0,0,0,0
2006-GS-295,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,43,0,0,0,0,0,0,28,0,0,0,0,4,1243,0,0,0,1,0,120,0,0,0,0
2006-GS-297,1,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,26,0,0,0,0,0,0,2,0,0,0,0,3,429,0,0,0,3,0,130,0,0,0,0
2006-GS-298,1,4,0,0,0,1,0,0,0,0,2,0,3,1,0,0,8,27,0,0,0,0,2,0,2,0,0,0,0,16,66,0,0,0,5,0,160,0,0,0,0
2006-GS-300,1,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,32,18,0,0,0,0,0,0,1,0,0,0,0,23,46,0,0,0,1,0,142,0,0,0,0
2006-GS-302,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,23,0,0,0,0,0,0,0,0,0,0,0,3,172,0,0,0,4,0,173,0,0,0,0
2006-GS-303,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,36,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,4,0,64,0,0,0,0
2006-GS-304,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,21,0,0,0,0,0,0,0,0,1,0,0,17,59,0,0,0,8,0,35,0,0,0,0
2006-GS-305,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,0,0,0,0,0,0,0,0,0,0,0,19,40,0,0,0,0,0,121,0,0,0,0
2006-GS-306,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,4,46,0,0,0,3,0,61,0,0,0,0
2006-GS-309,2,0,1,0,1,0,0,34,0,0,2,0,1,0,0,0,27,119,0,0,3,2,0,0,8,0,0,0,0,23,635,0,0,0,0,3,1,0,0,5,1
2006-GS-311,1,0,0,0,0,1,0,11,0,0,0,0,1,0,0,0,8,31,0,0,0,0,0,0,1,0,0,0,0,23,494,0,0,0,0,1,39,0,0,0,0
2006-GS-313,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,117,40,0,1,0,0,1,0,0,0,0,2,0,67,15,0,0,0,0,0,29,0,0,0,0
2006-GS-314,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,23,29,0,1,0,0,0,0,1,0,0,0,0,24,66,0,0,0,3,0,37,0,0,0,0
2006-GS-316,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,6,27,0,0,0,0,2,0,0,0,0,0,0,9,34,0,0,0,2,0,41,0,0,0,0
2006-GS-317,2,0,1,0,0,0,0,1,0,0,10,0,2,0,0,0,8,56,0,0,0,0,0,0,3,0,0,0,0,9,239,0,0,0,8,0,95,0,0,0,0
2006-GS-318,1,2,0,1,1,0,0,0,0,0,4,0,2,0,0,0,4,72,0,0,0,0,0,0,0,0,0,0,1,7,45,0,0,0,0,0,17,0,0,0,0
2006-GS-320,3,0,0,0,0,4,0,1,0,0,2,0,1,0,0,0,6,15,0,1,1,0,0,0,4,0,0,0,0,5,58,0,0,0,3,1,22,0,0,0,0
2006-GS-321,4,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,6,21,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,9,0,0,0,0
2006-GS-326,2,0,0,0,0,2,0,8,0,0,1,0,1,0,0,0,4,26,0,2,0,0,0,3,9,0,0,4,10,5,109,0,0,0,10,0,8,0,0,0,0
2006-GS-327,6,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,16,41,0,1,0,0,0,0,2,0,0,0,2,4,68,0,0,0,8,0,26,0,0,0,0
2006-GS-328,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,21,0,1,0,0,1,0,1,0,0,0,1,5,23,0,0,0,0,0,8,0,0,0,0
2006-GS-330,1,0,0,0,1,0,0,27,0,0,0,0,3,0,0,0,25,60,0,0,3,2,0,7,1,0,0,0,1,5,22,0,0,0,0,3,2,1,4,0,0
2006-GS-331,2,0,0,0,0,0,0,25,0,0,0,0,4,0,0,0,24,48,0,5,2,0,0,4,4,0,1,0,11,4,2,0,0,0,2,0,2,0,2,0,0
2006-GS-332,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,24,20,0,3,0,0,0,0,8,0,0,0,2,2,35,0,0,0,2,1,8,0,0,0,0
2006-GS-334,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,10,26,0,1,0,0,0,0,15,0,0,1,1,1,44,0,0,0,7,0,7,0,0,0,0
2006-GS-335,2,0,0,0,0,0,0,4,0,0,2,0,1,0,0,0,2,10,0,2,0,0,0,0,3,0,0,2,0,1,20,0,0,0,8,1,6,0,0,0,0
2006-GS-347,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,7,45,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,2,0,0,0,0
2006-GS-349,2,0,0,0,2,0,0,15,0,0,2,0,0,0,0,0,45,91,0,8,2,4,0,3,3,0,0,3,6,4,0,0,0,0,5,0,3,0,0,0,0
2006-GS-350,1,0,0,0,0,1,0,13,0,0,4,0,0,0,0,0,20,47,0,0,0,0,0,0,0,4,0,3,74,1,0,0,0,0,7,0,2,0,0,0,0
2006-GS-358,6,0,1,0,2,0,0,11,0,0,0,0,0,0,0,0,30,63,0,3,1,3,0,1,0,1,0,3,66,4,0,0,0,0,6,0,65,0,0,0,0
2006-GS-359,1,0,1,0,0,0,0,23,0,0,0,0,0,0,0,0,68,206,0,6,3,4,0,0,1,0,0,4,10,0,0,0,0,0,13,0,178,1,0,0,1
2006-NF100,2,0,1,0,1,0,0,2,1,0,2,0,0,0,0,0,132,157,0,5,0,2,0,0,0,0,0,17,10,9,1,0,1,0,11,0,2,0,0,0,1
2006-NF102,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,102,109,0,9,1,2,0,0,10,0,1,11,19,16,11,0,0,0,11,0,8,0,1,0,2
2006-NF105,1,0,0,0,0,0,0,53,1,0,0,0,0,0,0,0,159,335,0,17,15,63,0,0,0,0,0,4,18,78,0,0,0,0,0,0,6,0,4,0,1
2006-NF107,0,0,0,0,2,0,0,0,8,0,0,0,0,0,20,0,53,41,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,0,0
2006-NF108,3,0,0,1,2,0,0,35,0,0,0,0,0,0,0,0,254,312,1,40,1,5,0,0,0,0,0,11,1,95,0,0,0,0,7,0,0,0,3,0,5
2006-NF111,5,0,0,0,0,0,0,41,4,0,0,0,0,0,0,0,226,825,0,9,4,22,0,0,0,0,0,1,0,119,0,0,0,0,8,0,0,0,0,0,0
2006-NF112,2,0,0,0,0,0,0,87,1,0,0,0,0,0,0,0,598,653,0,53,9,14,0,0,0,0,0,3,3,29,0,0,0,0,18,0,1,0,0,0,1
2006-NF46,2,0,1,0,0,0,0,4,0,0,6,0,3,0,0,0,8,23,0,0,0,0,0,0,1,0,0,2,0,11,23,0,0,0,0,0,27,0,0,0,0
2006-NF47,0,0,0,2,6,3,0,80,0,0,0,0,2,0,0,0,7,45,1,4,0,0,0,0,10,0,0,0,0,5,124,0,0,0,0,0,64,0,2,0,0
2006-NF48,6,0,0,0,1,0,0,10,1,0,0,0,0,0,0,0,72,131,0,1,4,13,0,0,18,0,0,0,0,73,226,0,1,0,0,0,129,0,0,0,2
2006-NF49,14,0,2,0,0,0,0,2,3,0,0,0,0,1,0,0,8,157,0,0,0,5,0,0,4,5,0,0,1,17,17,0,0,0,32,0,22,0,0,0,0
2006-NF52,2,0,1,5,0,0,0,32,0,0,0,0,0,0,0,0,28,212,0,0,0,16,0,0,34,0,0,0,0,6,4,0,0,0,0,0,14,0,0,0,0
2006-NF55,8,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,179,1672,0,1,9,9,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
2006-NF56,8,0,0,3,0,0,0,0,359,0,0,0,0,0,0,0,99,221,0,0,2,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0
2006-NF59,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,61,269,0,1,0,0,0,2,0,0,0,0,0,22,141,0,0,0,8,0,105,0,0,0,0
2006-NF60,2,0,0,5,7,0,0,22,0,0,0,0,0,0,0,0,178,545,0,4,2,49,0,0,0,0,0,0,3,217,0,0,0,0,0,0,0,0,24,0,0
2006-NF63,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,0,112,21,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
2006-NF64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0
2006-NF67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,94,2,1,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,2,0,0
2006-NF68,1,0,0,0,6,0,0,0,4,0,0,0,0,0,10,0,22,274,12,6,58,6,0,0,0,0,2,0,360,1,0,0,0,0,0,0,0,0,608,0,0
2006-NF72,0,0,0,1,12,0,0,10,0,0,0,0,0,0,0,0,399,175,0,4,2,38,0,0,0,0,0,0,76,328,0,0,0,0,0,0,0,0,7,0,0
2006-NF73,1,0,1,0,11,1,0,91,1,0,0,0,1,0,0,0,62,93,1,5,1,1,1,0,6,0,0,1,7,7,82,0,0,0,3,9,0,1,14,0,1
2006-NF76,2,0,0,0,2,0,0,55,0,0,1,0,0,0,0,0,53,101,0,3,2,0,0,0,3,0,0,9,10,69,3,0,0,0,5,5,215,0,1,0,2
2006-NF77,2,0,0,1,0,0,0,6,1,0,6,0,5,0,0,0,18,28,0,2,0,0,0,0,10,0,0,4,6,25,14,0,0,0,3,0,25,0,0,0,0
2006-NF80,1,0,0,0,0,6,0,6,0,0,4,0,2,0,0,0,13,22,0,2,1,0,0,0,16,0,0,1,3,7,46,0,0,0,4,2,5,0,0,0,0
2006-NF81,0,0,0,0,0,1,0,11,0,0,4,0,1,0,0,0,18,29,0,3,0,0,0,1,2,0,0,2,13,7,44,0,0,0,19,0,7,0,0,0,0
2006-NF82,6,0,0,0,0,4,0,7,1,0,5,0,3,0,0,0,14,153,0,1,0,0,0,1,9,0,0,1,6,8,71,0,0,0,6,0,9,0,0,0,0
2006-NF98,3,0,1,0,0,2,0,3,0,0,1,0,0,0,0,0,26,72,0,0,1,0,0,0,0,0,0,3,19,5,7,0,0,0,18,0,3,0,0,0,0
2006-NF99,1,0,0,0,0,0,0,15,0,0,0,0,2,0,0,0,33,58,0,1,0,0,0,0,0,1,0,9,8,6,0,0,0,0,4,0,77,0,0,0,0
2006-UFJJ99,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,26,140,0,3,38,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,3,0,13,0,0
